Date,Open,High,Low,Close,Volume,Adj Close
21-09-2011,419.64,421.59,412,412.14,151494000,56
22-09-2011,401.03,409.82,396.7,401.82,242120200,54.6
23-09-2011,400.28,406.74,399.85,404.3,136569300,54.93
26-09-2011,399.86,403.98,391.3,403.17,203219100,54.78
27-09-2011,408.73,409.25,398.06,399.26,158124400,54.25
28-09-2011,400.19,403.74,396.51,397.01,107409400,53.94
29-09-2011,401.92,402.21,386.21,390.57,162771700,53.07
30-09-2011,387.12,388.89,381.18,381.32,136910200,51.81
03-10-2011,380.37,382.64,373.17,374.6,167274800,50.9
04-10-2011,374.57,381.8,354.24,372.5,308419300,50.61
05-10-2011,367.86,379.82,360.3,378.25,196617400,51.39
06-10-2011,373.33,384.78,371.8,377.37,203145600,51.27
07-10-2011,375.78,377.74,368.49,369.8,133864500,50.24
10-10-2011,379.09,388.81,378.21,388.81,110628700,52.83
11-10-2011,392.57,403.18,391.5,400.29,151421900,54.39
12-10-2011,407.34,409.25,400.14,402.19,155571500,54.65
13-10-2011,404.98,408.43,402.85,408.43,106546300,55.49
14-10-2011,416.83,422,415.27,422,143341800,57.34
17-10-2011,421.74,426.7,415.94,419.99,171511200,57.06
18-10-2011,421.76,424.81,415.99,422.24,220400600,57.37
19-10-2011,401.35,408.42,397.8,398.62,276014900,54.16
20-10-2011,400,400.35,394.21,395.31,137317600,53.71
21-10-2011,398.1,399.14,390.75,392.87,155311100,53.38
24-10-2011,396.18,406.5,395.4,405.77,125534500,55.13
25-10-2011,405.03,406.55,397.38,397.77,107606800,54.04
26-10-2011,401.76,402.55,393.15,400.6,114076200,54.43
27-10-2011,407.56,409,401.89,404.69,123666200,54.98
28-10-2011,403,406.35,402.51,404.95,80710700,55.02
31-10-2011,402.42,409.33,401.05,404.78,96375300,55
01-11-2011,397.41,399.5,393.22,396.51,132947500,53.87
02-11-2011,400.09,400.44,395.11,397.41,81837700,54
03-11-2011,399.07,403.4,395.36,403.07,110346600,54.76
04-11-2011,402.03,403.44,399.16,400.24,75557300,54.38
07-11-2011,399.91,400,396.13,399.73,67568900,54.31
08-11-2011,402.21,408,401.56,406.23,100110500,55.19
09-11-2011,396.97,400.89,394.23,395.28,139671000,53.71
10-11-2011,397.03,397.21,382.15,385.22,186188100,52.34
11-11-2011,386.61,388.7,380.26,384.62,163446500,52.26
14-11-2011,383.52,385.25,378.2,379.26,108226300,51.53
15-11-2011,380.8,389.5,379.45,388.83,107702700,52.83
16-11-2011,389.25,391.14,384.32,384.77,87302600,52.28
17-11-2011,383.98,384.58,375.5,377.41,119975100,51.28
18-11-2011,378.92,379.99,374.88,374.94,92984500,50.94
21-11-2011,370.4,371.68,365.91,369.01,111995100,50.14
22-11-2011,371.02,377.93,370.94,376.51,102255300,51.16
23-11-2011,374.51,375.84,366.88,366.99,107067800,49.86
25-11-2011,368.42,371.15,363.32,363.57,63690200,49.4
28-11-2011,372.35,376.72,370.33,376.12,86603300,51.1
29-11-2011,375.84,378.83,370.2,373.2,93963800,50.71
30-11-2011,381.29,382.28,378.3,382.2,101484600,51.93
01-12-2011,382.54,389,380.75,387.93,96795300,52.71
02-12-2011,389.83,393.63,388.58,389.7,94763900,52.95
05-12-2011,393.49,396.41,390.39,393.01,89302500,53.4
06-12-2011,392.51,394.63,389.38,390.95,70899500,53.12
07-12-2011,389.93,390.94,386.76,389.09,76186600,52.87
08-12-2011,391.45,395.5,390.23,390.66,94089100,53.08
09-12-2011,392.85,394.04,391.03,393.62,74248300,53.48
12-12-2011,391.68,393.9,389.45,391.84,75266800,53.24
13-12-2011,393,395.4,387.1,388.81,84732200,52.83
14-12-2011,386.7,387.38,377.68,380.19,101721900,51.66
15-12-2011,383.33,383.74,378.31,378.94,64050000,51.49
16-12-2011,380.36,384.15,379.57,381.02,105369600,51.77
19-12-2011,382.47,384.85,380.48,382.21,58882600,51.93
20-12-2011,387.76,396.1,387.26,395.95,84303800,53.8
21-12-2011,396.69,397.3,392.01,396.45,65737000,53.87
22-12-2011,397,399.13,396.1,398.55,50589700,54.15
23-12-2011,399.69,403.59,399.49,403.33,67349800,54.8
27-12-2011,403.1,409.09,403.02,406.53,66269000,55.23
28-12-2011,406.89,408.25,401.34,402.64,57165500,54.71
29-12-2011,403.4,405.65,400.51,405.12,53994500,55.04
30-12-2011,403.51,406.28,403.49,405,44915500,55.03
03-01-2012,409.4,412.5,409,411.23,75555200,55.87
04-01-2012,410,414.68,409.28,413.44,65005500,56.17
05-01-2012,414.95,418.55,412.67,418.03,67817400,56.8
06-01-2012,419.77,422.75,419.22,422.4,79573200,57.39
09-01-2012,425.5,427.75,421.35,421.73,98506100,57.3
10-01-2012,425.91,426,421.5,423.24,64549100,57.51
11-01-2012,422.68,422.85,419.31,422.55,53771200,57.41
12-01-2012,422.28,422.9,418.75,421.39,53146800,57.25
13-01-2012,419.7,420.45,418.66,419.81,56505400,57.04
17-01-2012,424.2,425.99,422.96,424.7,60724300,57.7
18-01-2012,426.96,429.47,426.3,429.11,69197800,58.3
19-01-2012,430.15,431.37,426.51,427.75,65434600,58.12
20-01-2012,427.49,427.5,419.75,420.3,103493600,57.11
23-01-2012,422.67,428.45,422.3,427.41,76515600,58.07
24-01-2012,425.1,425.1,419.55,420.41,136909500,57.12
25-01-2012,454.44,454.45,443.73,446.66,239578500,60.69
26-01-2012,448.36,448.79,443.14,444.63,80996300,60.41
27-01-2012,444.34,448.48,443.77,447.28,74927300,60.77
30-01-2012,445.71,453.9,445.39,453.01,94835300,61.55
31-01-2012,455.59,458.24,453.07,456.48,97920900,62.02
01-02-2012,458.41,458.99,455.55,456.19,67511500,61.98
02-02-2012,455.9,457.17,453.98,455.12,46699100,61.84
03-02-2012,457.3,460,455.56,459.68,71649900,62.46
06-02-2012,458.38,464.98,458.2,463.97,62353200,63.04
07-02-2012,465.25,469.75,464.58,468.83,79055900,63.7
08-02-2012,470.5,476.79,469.7,476.68,101972500,64.77
09-02-2012,480.76,496.75,480.56,493.17,221053700,67.01
10-02-2012,490.96,497.62,488.55,493.42,157825500,67.04
13-02-2012,499.53,503.83,497.09,502.6,129304000,68.29
14-02-2012,504.66,509.56,502,509.46,115099600,69.22
15-02-2012,514.26,526.29,496.89,497.67,376530000,67.62
16-02-2012,491.5,504.89,486.63,502.21,236138000,68.23
17-02-2012,503.11,507.77,500.3,502.12,133951300,68.22
21-02-2012,506.88,514.85,504.12,514.85,151398800,69.95
22-02-2012,513.08,515.49,509.07,513.04,120825600,69.71
23-02-2012,515.08,517.83,509.5,516.39,142006900,70.16
24-02-2012,519.67,522.9,518.64,522.41,103768000,70.98
27-02-2012,521.31,528.5,516.28,525.76,136895500,71.43
28-02-2012,527.96,535.41,525.85,535.41,150096800,72.75
29-02-2012,541.56,547.61,535.7,542.44,238002800,73.7
01-03-2012,548.17,548.21,538.77,544.47,170817500,73.98
02-03-2012,544.24,546.8,542.52,545.18,107928100,74.07
05-03-2012,545.42,547.48,526,533.16,202281100,72.44
06-03-2012,523.66,533.69,516.22,530.26,202559700,72.05
07-03-2012,536.8,537.78,523.3,530.69,199630200,72.1
08-03-2012,534.69,542.99,532.12,541.99,129114300,73.64
09-03-2012,544.21,547.74,543.11,545.17,104729800,74.07
12-03-2012,548.98,552,547,552,101820600,75
13-03-2012,557.54,568.18,555.75,568.1,172713800,77.19
14-03-2012,578.05,594.72,575.4,589.58,354711000,80.11
15-03-2012,599.61,600.01,578.55,585.56,289929500,79.56
16-03-2012,584.72,589.2,578,585.57,206371900,79.56
19-03-2012,598.37,601.77,589.05,601.1,225309000,81.67
20-03-2012,599.51,606.9,591.48,605.96,204165500,82.33
21-03-2012,602.74,609.65,601.41,602.5,161010500,81.86
22-03-2012,597.78,604.5,595.53,599.34,155967700,81.43
23-03-2012,600.49,601.8,594.4,596.05,107622200,80.98
26-03-2012,599.79,607.15,595.26,606.98,148935500,82.47
27-03-2012,606.18,616.28,606.06,614.48,151782400,83.49
28-03-2012,618.38,621.45,610.31,617.62,163865100,83.92
29-03-2012,612.78,616.56,607.23,609.86,152059600,82.86
30-03-2012,608.77,610.56,597.94,599.55,182759500,81.46
02-04-2012,601.83,618.77,600.38,618.63,149587900,84.05
03-04-2012,627.3,632.21,622.51,629.32,208639900,85.51
04-04-2012,624.35,625.86,617,624.31,143245200,84.82
05-04-2012,626.98,634.66,623.4,633.68,160324500,86.1
09-04-2012,626.13,639.84,625.3,636.23,149384200,86.44
10-04-2012,639.93,644,626,628.44,222431300,85.39
11-04-2012,636.2,636.87,623.34,626.2,174153700,85.08
12-04-2012,625,631.33,620.5,622.77,153584200,84.62
13-04-2012,624.11,624.7,603.51,605.23,214911200,82.23
16-04-2012,610.06,610.28,578.25,580.13,262696700,78.82
17-04-2012,578.94,610,571.91,609.7,256382000,82.84
18-04-2012,613.72,620.25,602.71,608.34,238632800,82.65
19-04-2012,600.22,604.73,584.52,587.44,208679800,79.82
20-04-2012,591.38,594.62,570.42,572.98,257746300,77.85
23-04-2012,570.61,576.67,556.62,571.7,241632300,77.68
24-04-2012,562.61,567.69,555,560.28,269037300,76.12
25-04-2012,615.64,618,606,610,226444400,82.88
26-04-2012,614.27,614.69,602.13,607.7,134017100,82.57
27-04-2012,605.07,606.18,600.5,603,101680600,81.93
30-04-2012,597.8,598.4,583,583.98,126536200,79.34
01-05-2012,584.9,596.76,581.23,582.13,152749800,79.09
02-05-2012,580.24,587.4,578.86,585.98,106847300,79.62
03-05-2012,590.5,591.4,580.3,581.82,97637400,79.05
04-05-2012,577.08,578.36,565.17,565.25,132498100,76.8
07-05-2012,561.5,572.77,561.23,569.48,115029600,77.37
08-05-2012,569.58,571.5,558.73,568.18,124313000,77.2
09-05-2012,563.7,573.98,560.85,569.18,120176000,77.33
10-05-2012,574.58,575.88,568.44,570.52,83300000,77.52
11-05-2012,565,574.47,564.35,566.71,99886500,77
14-05-2012,562.57,567.51,557.6,558.22,88156600,75.84
15-05-2012,561.45,563.22,551.75,553.17,119084000,75.16
16-05-2012,554.05,556.89,541.04,546.08,140224000,74.2
17-05-2012,545.31,547.5,530.12,530.12,179305000,72.03
18-05-2012,533.96,543.41,522.18,530.38,183073100,72.06
21-05-2012,534.5,561.54,534.05,561.28,157776500,76.26
22-05-2012,569.55,573.88,552.58,556.97,173717600,75.68
23-05-2012,557.5,572.8,553.23,570.56,146224400,77.52
24-05-2012,575.87,576.5,561.23,565.32,124057500,76.81
25-05-2012,564.59,565.85,558.47,562.29,82126800,76.4
29-05-2012,570.9,574,565.31,572.27,95127200,77.75
30-05-2012,569.2,579.99,566.56,579.17,132357400,78.69
31-05-2012,580.74,581.5,571.46,577.73,122918600,78.5
01-06-2012,569.16,572.65,560.52,560.99,130246900,76.22
04-06-2012,561.5,567.5,548.5,564.29,139248900,76.67
05-06-2012,561.27,566.47,558.33,562.83,97053600,76.47
06-06-2012,567.77,573.85,565.5,571.46,100363900,77.64
07-06-2012,577.29,577.32,570.5,571.72,94941700,77.68
08-06-2012,571.6,580.58,569,580.32,86879100,78.85
11-06-2012,587.72,588.5,570.63,571.17,147816200,77.6
12-06-2012,574.46,576.62,566.7,576.16,108845100,78.28
13-06-2012,574.52,578.48,570.38,572.16,73395000,77.74
14-06-2012,571.24,573.5,567.26,571.53,86393300,77.65
15-06-2012,571,574.62,569.55,574.13,83813800,78.01
18-06-2012,570.96,587.89,570.37,585.78,110103000,79.59
19-06-2012,583.4,590,583.1,587.41,90351100,79.81
20-06-2012,588.21,589.25,580.8,585.74,89735800,79.58
21-06-2012,585.44,588.22,577.44,577.67,81587800,78.49
22-06-2012,579.04,582.19,575.42,582.1,71117900,79.09
25-06-2012,577.3,579.8,570.37,570.77,76095600,77.55
26-06-2012,571.33,574.49,567.33,572.03,69134100,77.72
27-06-2012,575,576.74,571.92,574.5,50749300,78.06
28-06-2012,571.67,574,565.61,569.05,70709100,77.32
29-06-2012,578,584,574.25,584,105375200,79.35
02-07-2012,584.73,593.47,583.6,592.52,100023000,80.51
03-07-2012,594.88,600,594,599.41,60428200,81.44
05-07-2012,600.56,614.34,599.65,609.94,121095800,82.87
06-07-2012,607.09,608.44,601.58,605.88,104732600,82.32
09-07-2012,605.3,613.9,604.11,613.89,94851400,83.41
